"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1534871","occ","","","46077","cf. Hypsognathus sp.","genus","37529","","Hypsognathus","genus","37529","Rhaetian","","208.5","201.4","74323"
"1534873","occ","","","94541","n. gen. Eomurruna n. sp. yurrgensis","species","428554","","Eomurruna yurrgensis","species","428554","Induan","","251.902","251.2","74324"
"1549175","occ","","","99234","n. gen. Oryporan n. sp. insolitus","species","433819","","Oryporan insolitus","species","433819","Induan","Olenekian","251.902","247.2","75784"
"1549176","occ","","","99234","n. gen. Oryporan n. sp. insolitus","species","433819","","Oryporan insolitus","species","433819","Induan","Olenekian","251.902","247.2","75784"
"1558846","occ","","IF","118063","Rhynchosauroides n. sp. polonicus","species","436565","recombined as","Procolophonichnium polonicum","species","436565","Spathian","","248.9","247.2","76678"
"1587698","occ","","","87420","Procolophon indet.","genus","37541","","Procolophon","genus","37541","Early Triassic","","251.902","247.2","67836"
"1589167","occ","","IF","188978","Procolophonichnium n. sp. nopcsai","species","249149","","Procolophonichnium nopcsai","species","249149","Early Triassic","","251.902","247.2","80933"
"1611415","occ","","","227834","cf. Sclerosaurus sp.","genus","37551","","Sclerosaurus","genus","37551","Anisian","","247.2","242","83035"
"1611416","occ","","","227834","Anomoiodon sp.","genus","37523","","Anomoiodon","genus","37523","Anisian","","247.2","242","83035"
"1638608","occ","","","46889","n. gen. Hwiccewyrm n. sp. trispiculum","species","478310","","Hwiccewyrm trispiculum","species","478310","Carnian","","237","227","86209"
